payer_country_encoder,date,p10,p50,p90,mean
107,2023-04-01,0.0,0.0,0.0,16.99
107,2023-04-02,0.0,0.0,0.0,10.961599731445313
107,2023-04-03,0.0,0.0,0.0,21.78010009765625
107,2023-04-04,0.0,0.0,0.0,19.95010009765625
107,2023-04-05,0.0,0.0,0.0,18.631900024414062
107,2023-04-06,0.0,0.0,0.0,15.92
107,2023-04-07,0.0,0.0,0.0,51.996600036621096
107,2023-04-08,0.0,0.0,0.0,42.15660003662109
107,2023-04-09,0.0,0.0,0.0,17.720799865722658
107,2023-04-10,0.0,0.0,0.0,8.77
107,2023-04-11,0.0,0.0,0.0,44.082899780273436
107,2023-04-12,0.0,0.0,0.0,8.7
107,2023-04-13,0.0,0.0,0.0,6.56
107,2023-04-14,0.0,0.0,0.0,63.966600036621095
107,2023-04-15,0.0,0.0,0.0,38.03
107,2023-04-16,0.0,0.0,0.0,13.5
107,2023-04-17,0.0,0.0,0.0,69.07
107,2023-04-18,0.0,0.0,0.0,17.65010009765625
107,2023-04-19,0.0,0.0,0.0,32.92
107,2023-04-20,0.0,0.0,0.0,6.62
107,2023-04-21,0.0,0.0,166.66000366210938,94.3666000366211
107,2023-04-22,0.0,0.0,0.0,42.0
107,2023-04-23,0.0,0.0,0.0,42.73079986572266
107,2023-04-24,0.0,0.0,0.0,41.1
107,2023-04-25,0.0,0.0,0.0,21.46
107,2023-04-26,0.0,0.0,0.0,46.07
107,2023-04-27,0.0,0.0,0.0,31.25510009765625
107,2023-04-28,0.0,0.0,0.0,51.78510009765625
107,2023-04-29,0.0,0.0,0.0,11.485899963378905
107,2023-04-30,0.0,0.0,0.0,9.0
107,2023-05-01,0.0,0.0,0.0,65.5
107,2023-05-02,0.0,0.0,0.0,12.33
107,2023-05-03,0.0,0.0,0.0,15.13
107,2023-05-04,0.0,0.0,0.0,4.73
107,2023-05-05,0.0,0.0,0.0,56.61
107,2023-05-06,0.0,0.0,0.0,23.0
107,2023-05-07,0.0,0.0,0.0,26.730799865722656
107,2023-05-08,0.0,0.0,0.0,0.3
107,2023-05-09,0.0,0.0,0.0,60.38109985351562
107,2023-05-10,0.0,0.0,0.0,24.72
107,2023-05-11,0.0,0.0,0.0,43.5
107,2023-05-12,0.0,0.0,150.0,81.75510009765625
107,2023-05-13,0.0,0.0,203.0,65.93
107,2023-05-14,0.0,0.0,0.0,11.5
107,2023-05-15,0.0,0.0,0.0,81.80190002441407
107,2023-05-16,0.0,0.0,0.0,6.5
107,2023-05-17,0.0,0.0,0.0,10.64
107,2023-05-18,0.0,0.0,0.0,11.126600036621094
107,2023-05-19,0.0,0.0,0.0,18.421700134277344
107,2023-05-20,0.0,0.0,0.0,26.72510009765625
107,2023-05-21,0.0,0.0,0.0,27.460799865722656
107,2023-05-22,0.0,0.0,0.0,40.5
107,2023-05-23,0.0,0.0,0.0,24.093800048828125
107,2023-05-24,0.0,0.0,0.0,18.47
107,2023-05-25,0.0,0.0,0.0,22.0
107,2023-05-26,0.0,0.0,0.0,26.966600036621095
107,2023-05-27,0.0,0.0,0.0,8.39739990234375
107,2023-05-28,0.0,0.0,0.0,5.5
107,2023-05-29,0.0,0.0,0.0,8.47
107,2023-05-30,0.0,0.0,0.0,25.811099853515625
107,2023-05-31,0.0,0.0,50.0,24.2
107,2023-06-01,0.0,0.0,0.0,13.6
107,2023-06-02,0.0,0.0,0.0,28.12
107,2023-06-03,0.0,0.0,0.0,22.49
107,2023-06-04,0.0,0.0,0.0,15.460799865722656
107,2023-06-05,0.0,0.0,0.0,5.8
107,2023-06-06,0.0,0.0,0.0,65.9902001953125
107,2023-06-07,0.0,0.0,0.0,8.77
107,2023-06-08,0.0,0.0,0.0,12.96
107,2023-06-09,0.0,0.0,0.0,70.5
107,2023-06-10,0.0,0.0,0.0,6.20510009765625
107,2023-06-11,0.0,0.0,0.0,35.18669982910156
107,2023-06-12,0.0,0.0,0.0,1.0
107,2023-06-13,0.0,0.0,0.0,127.58190002441407
107,2023-06-14,0.0,0.0,0.0,6.37
107,2023-06-15,0.0,0.0,0.0,28.23
107,2023-06-16,0.0,0.0,0.0,22.9
107,2023-06-17,0.0,0.0,99.0,57.16100006103515
107,2023-06-18,0.0,0.0,0.0,13.720799865722656
107,2023-06-19,0.0,0.0,0.0,56.32010009765625
107,2023-06-20,0.0,0.0,0.0,30.371099853515624
107,2023-06-21,0.0,0.0,0.0,60.72
107,2023-06-22,0.0,0.0,0.0,23.46
107,2023-06-23,0.0,0.0,0.0,17.5
107,2023-06-24,0.0,0.0,0.0,32.32320007324219
107,2023-06-25,0.0,0.0,0.0,19.0
107,2023-06-26,0.0,0.0,0.0,20.0
107,2023-06-27,0.0,0.0,0.0,79.47
107,2023-06-28,0.0,0.0,0.0,25.62
107,2023-06-29,0.0,0.0,0.0,12.45
107,2023-06-30,0.0,0.0,0.0,72.3
107,2023-07-01,0.0,0.0,0.0,28.656600036621093
107,2023-07-02,0.0,0.0,0.0,23.5
107,2023-07-03,0.0,0.0,0.0,8.47
107,2023-07-04,0.0,0.0,0.0,35.18199951171875
107,2023-07-05,0.0,0.0,0.0,7.76
107,2023-07-06,0.0,0.0,0.0,2.3
