FRAUD_DECILE,False,True
1,97408,133
2,97535,6
3,97536,5
4,97535,5
5,97539,2
6,97540,1
7,97539,2
8,97540,0
9,97539,2
10,97541,0
11,97541,0
12,97540,0
13,97540,1
14,97540,1
15,97540,0
16,97541,0
17,97541,0
18,97541,0
19,97540,0
20,97541,0
21,97541,0
22,97541,0
23,97540,0
24,97541,0
25,97541,0
26,97540,0
27,97541,0
28,97540,1
29,97541,0
30,97539,1
31,97541,0
32,97541,0
33,97541,0
34,97540,0
35,97541,0
36,97541,0
37,97541,0
38,97540,0
39,97541,0
40,97541,0
41,97540,0
42,97541,0
43,97541,0
44,97541,0
45,97540,0
46,97541,0
47,97540,1
48,97541,0
49,97539,1
50,97541,0
51,97540,1
52,97539,1
53,97541,0
54,97541,0
55,97541,0
56,97540,0
57,97541,0
58,97541,0
59,97541,0
60,97540,0
61,97541,0
62,97541,0
63,97540,0
64,97541,0
65,97541,0
66,97541,0
67,97540,0
68,97541,0
69,97541,0
70,97541,0
71,97540,0
72,97541,0
73,97541,0
74,97541,0
75,97540,0
76,97541,0
77,97541,0
78,97540,0
79,97541,0
80,97541,0
81,97541,0
82,97540,0
83,97541,0
84,97541,0
85,97541,0
86,97540,0
87,97541,0
88,97541,0
89,97540,0
90,97541,0
91,97541,0
92,97541,0
93,97540,0
94,97541,0
95,97541,0
96,97541,0
97,97540,0
98,97541,0
99,97541,0
100,97541,0
