,FRAUD_DECILE,level_1,min,max,final_score
0,1,score_rf,1.723412527995452e-06,0.9999999496221782,0.999
1,2,score_rf,6.383483925044749e-07,1.7233883571685493e-06,0.998
2,3,score_rf,3.4876856975043304e-07,6.383281064276063e-07,0.997
3,4,score_rf,2.2422487243115202e-07,3.4876827523023495e-07,0.996
4,5,score_rf,1.581005422867433e-07,2.2422421425094952e-07,0.995
5,6,score_rf,1.184363282333544e-07,1.5809924570388177e-07,0.994
6,7,score_rf,9.258720175438707e-08,1.1843598972921579e-07,0.993
7,8,score_rf,7.473426798147389e-08,9.258617164347987e-08,0.992
8,9,score_rf,6.158722084202386e-08,7.473383481902623e-08,0.991
9,10,score_rf,5.1653508076674616e-08,6.158616919544409e-08,0.99
10,11,score_rf,4.402114475816166e-08,5.165345831508772e-08,0.989
11,12,score_rf,3.80006126303145e-08,4.4020958391677704e-08,0.988
12,13,score_rf,3.3184173632924174e-08,3.800057690780232e-08,0.987
13,14,score_rf,2.92489550668056e-08,3.3184071801903284e-08,0.986
14,15,score_rf,2.595519225262324e-08,2.9248922855302524e-08,0.985
15,16,score_rf,2.3170854107135092e-08,2.5955061019731728e-08,0.984
16,17,score_rf,2.0852337009717683e-08,2.317080158735112e-08,0.983
17,18,score_rf,1.8867183313959712e-08,2.085224645577021e-08,0.982
18,19,score_rf,1.7140259720114503e-08,1.8867103005610865e-08,0.981
19,20,score_rf,1.5647099113548015e-08,1.7140258670225314e-08,0.98
20,21,score_rf,1.4356625307248726e-08,1.5647037005786386e-08,0.979
21,22,score_rf,1.320966950777575e-08,1.4356625248273917e-08,0.978
22,23,score_rf,1.2205870667276838e-08,1.3209668551606596e-08,0.977
23,24,score_rf,1.1312685787012986e-08,1.2205848916186805e-08,0.976
24,25,score_rf,1.0515785412562523e-08,1.13126805456063e-08,0.975
25,26,score_rf,9.81157401451418e-09,1.0515769391885956e-08,0.974
26,27,score_rf,9.17173600254591e-09,9.811563195853802e-09,0.973
27,28,score_rf,8.59391567265592e-09,9.171717251684172e-09,0.972
28,29,score_rf,8.074454792204697e-09,8.593911200975718e-09,0.971
29,30,score_rf,7.595940680818821e-09,8.074454014974081e-09,0.97
30,31,score_rf,7.1640841821244955e-09,7.595923852480167e-09,0.969
31,32,score_rf,6.773163462280729e-09,7.164083016463168e-09,0.968
32,33,score_rf,6.411724167238521e-09,6.7731613605679005e-09,0.967
33,34,score_rf,6.079358833037554e-09,6.411712394559648e-09,0.966
34,35,score_rf,5.7709327560750155e-09,6.0793519232523935e-09,0.965
35,36,score_rf,5.488925645231528e-09,5.77093068325439e-09,0.964
36,37,score_rf,5.227835622820916e-09,5.488923778840508e-09,0.963
37,38,score_rf,4.9847283090861405e-09,5.227833563138248e-09,0.962
38,39,score_rf,4.761661855050543e-09,4.9847264290493375e-09,0.961
39,40,score_rf,4.552186907554306e-09,4.761659706314404e-09,0.96
40,41,score_rf,4.356065975131038e-09,4.55218186722759e-09,0.959
41,42,score_rf,4.174166076692916e-09,4.3560623626076556e-09,0.958
42,43,score_rf,4.003252610359288e-09,4.174165748364352e-09,0.957
43,44,score_rf,3.842113393631059e-09,4.00325168983285e-09,0.956
44,45,score_rf,3.692962068610545e-09,3.8421123925880705e-09,0.955
45,46,score_rf,3.5503715201656596e-09,3.692951815329173e-09,0.954
46,47,score_rf,3.4167388521167175e-09,3.550357593346059e-09,0.953
47,48,score_rf,3.2918981656322247e-09,3.416729780968951e-09,0.952
48,49,score_rf,3.174933174137425e-09,3.2918951077001663e-09,0.951
49,50,score_rf,3.0632617464181472e-09,3.1749283716706347e-09,0.95
50,51,score_rf,2.9586740162106635e-09,3.063257406448094e-09,0.949
51,52,score_rf,2.858198480054494e-09,2.9586736040338852e-09,0.948
52,53,score_rf,2.762557790309489e-09,2.858194341300738e-09,0.947
53,54,score_rf,2.671888599698564e-09,2.7625551800392767e-09,0.946
54,55,score_rf,2.5866569232647733e-09,2.6718845766892437e-09,0.945
55,56,score_rf,2.5046674324656498e-09,2.586655896473778e-09,0.944
56,57,score_rf,2.426560258816142e-09,2.504666344970931e-09,0.943
57,58,score_rf,2.352471487941925e-09,2.426555671206777e-09,0.942
58,59,score_rf,2.2821795922789782e-09,2.3524666650092104e-09,0.9410000000000001
59,60,score_rf,2.2143084828435817e-09,2.2821780281033172e-09,0.94
60,61,score_rf,2.14961618100324e-09,2.2143084445964157e-09,0.9390000000000001
61,62,score_rf,2.0882413891310542e-09,2.149615184976192e-09,0.938
62,63,score_rf,2.0289663746740817e-09,2.088240220119795e-09,0.937
63,64,score_rf,1.9719714041310585e-09,2.0289662855851275e-09,0.9359999999999999
64,65,score_rf,1.9181295485167867e-09,1.9719683019289927e-09,0.935
65,66,score_rf,1.866825188732498e-09,1.918128279414885e-09,0.9339999999999999
66,67,score_rf,1.8162758666750316e-09,1.866825108317696e-09,0.933
67,68,score_rf,1.7679256715854894e-09,1.8162756881624256e-09,0.9319999999999999
68,69,score_rf,1.721518875143026e-09,1.7679252042322343e-09,0.931
69,70,score_rf,1.677461759738486e-09,1.7215186830989134e-09,0.9299999999999999
70,71,score_rf,1.6350952986943639e-09,1.677457949918143e-09,0.929
71,72,score_rf,1.5942928263376147e-09,1.6350938434048224e-09,0.928
72,73,score_rf,1.5550937118777263e-09,1.594292772339951e-09,0.927
73,74,score_rf,1.5169077590296963e-09,1.5550878870153166e-09,0.926
74,75,score_rf,1.480179197157223e-09,1.516906714059542e-09,0.925
75,76,score_rf,1.4447779550805433e-09,1.480179185262229e-09,0.924
76,77,score_rf,1.4108909650738124e-09,1.4447774045119192e-09,0.923
