,FRAUD_DECILE,level_1,min,max,final_score
0,1,score_rf,1.02696063113117e-06,0.9999999842199145,0.999
1,2,score_rf,3.1822194533523797e-07,1.0268704879056216e-06,0.998
2,3,score_rf,1.543104657613113e-07,3.1818294481439957e-07,0.997
3,4,score_rf,9.298101260806372e-08,1.5430484835854268e-07,0.996
4,5,score_rf,6.21449191186645e-08,9.297951365832115e-08,0.995
5,6,score_rf,4.465600694734685e-08,6.214347126931474e-08,0.994
6,7,score_rf,3.370739651950916e-08,4.465536235994192e-08,0.993
7,8,score_rf,2.6356602983206045e-08,3.3707254744448946e-08,0.992
8,9,score_rf,2.1241225207717043e-08,2.635641405880463e-08,0.991
9,10,score_rf,1.758744333963758e-08,2.1240950260841724e-08,0.99
10,11,score_rf,1.4832013701921264e-08,1.7587427623080637e-08,0.989
11,12,score_rf,1.269307131515869e-08,1.483199482339307e-08,0.988
12,13,score_rf,1.1008623848387537e-08,1.2693053421771202e-08,0.987
13,14,score_rf,9.63386933966079e-09,1.1008618895854371e-08,0.986
14,15,score_rf,8.528196114817263e-09,9.63364046382352e-09,0.985
15,16,score_rf,7.613099334278122e-09,8.528185010437644e-09,0.984
16,17,score_rf,6.848375822400994e-09,7.613080426052873e-09,0.983
17,18,score_rf,6.195077067309483e-09,6.848365409758793e-09,0.982
18,19,score_rf,5.630922914085526e-09,6.195066356976821e-09,0.981
19,20,score_rf,5.1481080161301135e-09,5.63086901774553e-09,0.98
20,21,score_rf,4.728837704796168e-09,5.1480844725144265e-09,0.979
21,22,score_rf,4.357270612666474e-09,4.728826004416388e-09,0.978
22,23,score_rf,4.03286734744738e-09,4.357247149452023e-09,0.977
23,24,score_rf,3.745446931747799e-09,4.0328579649992005e-09,0.976
24,25,score_rf,3.4892861115528425e-09,3.745444617859785e-09,0.975
25,26,score_rf,3.2574503344632968e-09,3.4892397349688703e-09,0.974
26,27,score_rf,3.050441311836164e-09,3.2574281823781076e-09,0.973
27,28,score_rf,2.863187973144504e-09,3.0503633914980665e-09,0.972
28,29,score_rf,2.6947910071874537e-09,2.8631822504780255e-09,0.971
29,30,score_rf,2.5429998141013035e-09,2.694782679973416e-09,0.97
30,31,score_rf,2.401349775333306e-09,2.542999463076374e-09,0.969
31,32,score_rf,2.275521968809241e-09,2.40133723508083e-09,0.968
32,33,score_rf,2.1581961456094546e-09,2.275503890524575e-09,0.967
33,34,score_rf,2.051216414209217e-09,2.1581763125530148e-09,0.966
34,35,score_rf,1.951595616922141e-09,2.051212481807853e-09,0.965
35,36,score_rf,1.8586660679032878e-09,1.951592996796819e-09,0.964
36,37,score_rf,1.7730280507681015e-09,1.8586658633956634e-09,0.963
37,38,score_rf,1.6933213953468391e-09,1.7730247041622413e-09,0.962
38,39,score_rf,1.618471559816444e-09,1.6933210847789507e-09,0.961
39,40,score_rf,1.5484984799741111e-09,1.618468811421789e-09,0.96
40,41,score_rf,1.4841647542604945e-09,1.54849607515387e-09,0.959
41,42,score_rf,1.423813654897814e-09,1.4841625542273712e-09,0.958
42,43,score_rf,1.3668632716586008e-09,1.4238115426197605e-09,0.957
43,44,score_rf,1.3138918236168594e-09,1.366863251703595e-09,0.956
44,45,score_rf,1.2640904582989278e-09,1.3138773747098863e-09,0.955
45,46,score_rf,1.2173151371265848e-09,1.2640870199649049e-09,0.954
46,47,score_rf,1.173286337693839e-09,1.2173143401574132e-09,0.953
47,48,score_rf,1.1315359868099274e-09,1.1732862532407493e-09,0.952
48,49,score_rf,1.091865332602951e-09,1.1315318577023552e-09,0.951
49,50,score_rf,1.0543471192531047e-09,1.0918632416997267e-09,0.95
50,51,score_rf,1.0189194617320609e-09,1.0543464067518033e-09,0.949
51,52,score_rf,9.853372678258561e-10,1.0189193057028117e-09,0.948
52,53,score_rf,9.53204297378279e-10,9.853333537977212e-10,0.947
53,54,score_rf,9.227530767420789e-10,9.532018343202248e-10,0.946
54,55,score_rf,8.943390367336637e-10,9.227475244613368e-10,0.945
55,56,score_rf,8.667253928807357e-10,8.943365998890523e-10,0.944
56,57,score_rf,8.402449079275095e-10,8.667249014362732e-10,0.943
57,58,score_rf,8.151185447611014e-10,8.402435313764818e-10,0.942
58,59,score_rf,7.910611213252508e-10,8.1511481826182e-10,0.9410000000000001
59,60,score_rf,7.684186636488489e-10,7.910578420322447e-10,0.94
60,61,score_rf,7.464466403314844e-10,7.684151441155887e-10,0.9390000000000001
61,62,score_rf,7.257083915114562e-10,7.464456417369087e-10,0.938
62,63,score_rf,7.058646941442157e-10,7.257072837162485e-10,0.937
63,64,score_rf,6.868391634304702e-10,7.058585816042777e-10,0.9359999999999999
64,65,score_rf,6.685879947243817e-10,6.868374164182736e-10,0.935
65,66,score_rf,6.513985178863275e-10,6.68586207651258e-10,0.9339999999999999
66,67,score_rf,6.346610295041999e-10,6.513973878726322e-10,0.933
67,68,score_rf,6.184175403894577e-10,6.346610099715927e-10,0.9319999999999999
68,69,score_rf,6.027847992058e-10,6.184150256977776e-10,0.931
