Database,Schema,Table,Column,Data_Type,CONVERT,Size,Precision_Scale,is_nullable,Description,Trigger,MASK,USE?
Envio,Loyalty,accounting_customerledger,balance,bigint,,8,19/0,FALSE,,,,
Envio,Loyalty,accounting_customerledger,company_id,bigint,,8,19/0,FALSE,,,,
Envio,Loyalty,accounting_customerledger,cost,numeric,,9,38/38,TRUE,,,,
Envio,Loyalty,accounting_customerledger,creation_date,datetime2,,8,27/7,FALSE,,,,
Envio,Loyalty,accounting_customerledger,customer_id,nvarchar,,128,0/0,FALSE,,,,
Envio,Loyalty,accounting_customerledger,customer_id,sysname,,128,0/0,FALSE,,,,
Envio,Loyalty,accounting_customerledger,description,nvarchar,,512,0/0,FALSE,,,,
Envio,Loyalty,accounting_customerledger,description,sysname,,512,0/0,FALSE,,,,
Envio,Loyalty,accounting_customerledger,earning_rule_id,bigint,,8,19/0,TRUE,,,,
Envio,Loyalty,accounting_customerledger,id,bigint,,8,19/0,FALSE,,,,
Envio,Loyalty,accounting_customerledger,journal_id,bigint,,8,19/0,FALSE,,,,
Envio,Loyalty,accounting_customerledger,points,int,,4,10/0,FALSE,,,,
Envio,Loyalty,accounting_customerledger,spending_rule_id,bigint,,8,19/0,TRUE,,,,
Envio,Loyalty,accounting_customerledger,total_points,bigint,,8,19/0,FALSE,,,,
Envio,Loyalty,accounting_journal,agency_status,nvarchar,,512,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,agency_status,sysname,,512,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,amount,numeric,,9,38/38,TRUE,,,,
Envio,Loyalty,accounting_journal,branch_id,nvarchar,,128,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,branch_id,sysname,,128,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,chain_id,nvarchar,,128,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,chain_id,sysname,,128,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,creation_date,datetime2,,8,27/7,FALSE,,,,
Envio,Loyalty,accounting_journal,customer_id,nvarchar,,128,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,customer_id,sysname,,128,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,date_of_first_transaction,date,,3,10/0,TRUE,,,,
Envio,Loyalty,accounting_journal,destination_country,nvarchar,,6,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,destination_country,sysname,,6,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,exchange_rate,numeric,,9,38/38,TRUE,,,,
Envio,Loyalty,accounting_journal,fee,numeric,,9,38/38,TRUE,,,,
