Database,Schema,Table,number_of_rows_dev_environment,Filas (prod 20231215),extraction_load_type,tabla_update,Actualizacion incremental,Actualizacion completa,Important Columns,Campo de actualización,LLave primaria,Presenta cambios,Frecuencia de actualización,cdc,step function,Column1,Observación,USE?,grupo a migrar a producción,Esta en Cubo?,Text to put un filter,,,,,,
Envio,Sales,AgencyIndex,,,full,,No,,,,,,,,,,,,,Si,"'AgencyIndex',",,,,,,
Envio,Sales,Area,,,full,,No,,,,,,,,,,,,,Si,"'Area',",,,,,,
Envio,dba,AUDIT_BRANCH_STATUS,,,incremental_load,,SI,,,,,,,,,,,,,Si,"'AUDIT_BRANCH_STATUS',",,,,,,
Envio,dba,BRANCH_CREDIT_ALERT,,,full,,No,,,,,,,,,,,,,Si,"'BRANCH_CREDIT_ALERT',",,,,,,
Envio,dba,BRANCH_INSALES_REP,,,full,,No,,,,,,,,,,,,,Si,"'BRANCH_INSALES_REP',",,,,,,
Envio,dba,BRANCH_LAST_TRANSACTION,,,full,,No,,,,,,,,,,,,,Si,"'BRANCH_LAST_TRANSACTION',",,,,,,
Envio,dba,BRANCH_MONEY_TRANSMITTERS,,,full,,No,,,,,,,,,,,,,Si,"'BRANCH_MONEY_TRANSMITTERS',",,,,,,
Envio,crm,BUDGET_LOCATIONS_INCLUDED,,,full,,No,,,,,,,,,,,,,Si,"'BUDGET_LOCATIONS_INCLUDED',",,,,,,
Envio,dba,DESC_HOLD,,,full,,No,,,,,,,,,,,,,Si,"'DESC_HOLD',",,,,,,
Envio,dba,DISCOUNTS,,,full,,No,,,,,,,,,,,,,Si,"'DISCOUNTS',",,,,,,
Envio,dba,DW_AGENCY_CAT,,,full,,No,,,,,,,,,,,,,Si,"'DW_AGENCY_CAT',",,,,,,
Envio,dba,FLOATDAYS,,,full,,No,,,,,,,,,,,,,Si,"'FLOATDAYS',",,,,,,
Envio,dba,GETHOURSWORK,,,full,,No,,,,,,,,,,,,,Si,"'GETHOURSWORK',",,,,,,
Envio,dba,HISTORY_BALANCE,,,incremental_load,,SI,,,,,,,,,,,,,Si,"'HISTORY_BALANCE',",,,,,,
